neuron,timestep
Brick-1.140,211
Brick-1.151,211
Brick-1.153,211
Brick-1.162,211
Brick-1.185,211
Brick-1.196,211
Brick-1.71,212
Brick-1.93,212
Brick-1.123,212
Brick-1.64,214
Brick-1.83,214
Brick-1.11,215
Brick-1.69,215
Brick-1.158,215
Brick-1.35,216
Brick-1.41,216
Brick-1.48,216
Brick-1.75,216
Brick-1.88,216
Brick-1.100,216
Brick-1.130,216
Brick-1.135,216
Brick-1.173,216
Brick-1.177,216
Brick-1.13,217
Brick-1.16,217
Brick-1.24,217
Brick-1.29,217
Brick-1.39,217
Brick-1.43,217
Brick-1.63,217
Brick-1.73,217
Brick-1.90,217
Brick-1.91,217
Brick-1.96,217
Brick-1.114,217
Brick-1.128,217
Brick-1.189,217
Brick-1.193,217
Brick-1.195,217
Brick-1.198,217
Brick-1.2,218
Brick-1.5,218
Brick-1.21,218
Brick-1.23,218
Brick-1.44,218
Brick-1.49,218
Brick-1.54,218
Brick-1.56,218
Brick-1.80,218
Brick-1.81,218
Brick-1.86,218
Brick-1.98,218
Brick-1.99,218
Brick-1.102,218
Brick-1.143,218
Brick-1.164,218
Brick-1.67,219
Brick-1.70,219
Brick-1.94,219
Brick-1.117,219
Brick-1.131,222
Brick-1.7,226
Brick-1.125,226
Brick-1.4,228
Brick-1.181,228
Brick-1.160,235
Brick-1.122,241
Brick-1.33,243
Brick-1.184,243
Brick-1.118,246
Brick-1.10,249
Brick-1.77,249
Brick-1.101,249
Brick-1.167,249
Brick-1.168,249
Brick-1.120,251
Brick-1.82,252
Brick-1.89,252
Brick-1.159,252
Brick-1.148,253
Brick-1.15,254
Brick-1.20,254
Brick-1.26,254
Brick-1.133,254
Brick-1.103,255
Brick-1.79,256
Brick-1.183,256
Brick-1.27,257
Brick-1.106,257
Brick-1.175,257
Brick-1.182,257
Brick-1.25,258
Brick-1.47,259
Brick-1.66,259
Brick-1.74,259
Brick-1.132,259
Brick-1.76,260
Brick-1.199,260
Brick-1.68,261
Brick-1.78,261
Brick-1.121,261
Brick-1.147,261
Brick-1.150,261
Brick-1.28,262
Brick-1.50,262
Brick-1.87,262
Brick-1.105,262
Brick-1.116,262
Brick-1.146,262
Brick-1.161,262
Brick-1.163,262
Brick-1.179,262
Brick-1.197,262
Brick-1.17,263
Brick-1.119,263
Brick-1.170,263
Brick-1.22,264
Brick-1.30,264
Brick-1.95,264
Brick-1.104,264
Brick-1.109,264
Brick-1.155,264
Brick-1.166,264
Brick-1.178,264
Brick-1.14,265
Brick-1.18,265
Brick-1.58,265
Brick-1.142,265
Brick-1.186,265
Brick-1.111,266
Brick-1.127,266
Brick-1.188,266
Brick-1.9,267
Brick-1.32,267
Brick-1.38,267
Brick-1.45,267
Brick-1.84,267
Brick-1.92,267
Brick-1.97,267
Brick-1.124,267
Brick-1.136,267
Brick-1.144,267
Brick-1.152,267
Brick-1.165,267
Brick-1.169,267
Brick-1.174,267
Brick-1.191,267
Brick-1.37,268
Brick-1.107,268
Brick-1.129,268
Brick-1.137,268
Brick-1.145,268
Brick-1.3,269
Brick-1.8,269
Brick-1.12,269
Brick-1.19,269
Brick-1.34,269
Brick-1.40,269
Brick-1.46,269
Brick-1.55,269
Brick-1.115,269
Brick-1.141,269
Brick-1.176,269
Brick-1.180,269
Brick-1.190,269
Brick-1.194,269
Brick-1.0,270
Brick-1.1,270
Brick-1.6,270
Brick-1.51,270
Brick-1.52,270
Brick-1.57,270
